round,table_usage,runtime_ms
0,1.19,20.57
0,2.38,10.76
0,3.58,10.78
0,4.77,11.02
0,5.96,11.37
0,7.15,11.96
0,8.34,13.02
0,9.54,13.99
0,10.73,14.31
0,11.92,14.48
0,13.11,14.65
0,14.31,14.53
0,15.50,13.71
0,16.69,16.09
0,17.88,17.31
0,19.07,14.78
0,20.27,13.90
0,21.46,15.15
0,22.65,15.15
0,23.84,15.20
0,25.03,15.16
0,26.23,15.46
0,27.42,15.80
0,28.61,15.69
0,29.80,17.42
0,30.99,16.72
0,32.19,16.70
0,33.38,16.90
0,34.57,17.73
0,35.76,16.76
0,36.95,17.47
0,38.15,17.63
0,39.34,17.97
0,40.53,18.77
0,41.72,18.57
0,42.92,18.91
0,44.11,18.77
0,45.30,18.41
0,46.49,17.43
0,47.68,19.83
0,48.88,19.51
0,50.07,20.14
0,51.26,20.45
0,52.45,19.24
0,53.64,19.98
0,54.84,20.07
0,56.03,19.26
0,57.22,20.21
0,58.41,21.76
0,59.60,22.32
0,60.80,21.01
0,61.99,22.95
0,63.18,21.97
0,64.37,21.44
0,65.57,21.11
0,66.76,21.76
0,67.95,22.79
0,69.14,22.44
0,70.33,22.56
0,71.53,22.18
0,72.72,22.41
0,73.91,22.38
0,75.10,22.69
0,76.29,23.24
0,77.49,24.16
0,78.68,23.60
0,79.87,22.53
0,81.06,24.70
0,82.25,23.58
0,83.45,24.39
0,84.64,24.98
0,85.83,24.57
0,87.02,25.39
0,88.21,24.89
0,89.41,25.10
0,90.60,25.38
0,91.79,25.43
0,92.98,26.03
0,94.18,25.86
0,95.37,25.09
0,96.56,25.04
1,1.19,21.02
1,2.38,10.92
1,3.58,11.02
1,4.77,11.73
1,5.96,11.36
1,7.15,13.34
1,8.34,13.71
1,9.54,13.60
1,10.73,14.19
1,11.92,13.84
1,13.11,14.50
1,14.31,14.72
1,15.50,14.66
1,16.69,14.96
1,17.88,14.58
1,19.07,15.19
1,20.27,15.54
1,21.46,15.97
1,22.65,16.20
1,23.84,16.20
1,25.03,15.86
1,26.23,15.57
1,27.42,15.45
1,28.61,15.60
1,29.80,15.68
1,30.99,15.88
1,32.19,15.52
1,33.38,15.61
1,34.57,15.87
1,35.76,16.07
1,36.95,15.87
1,38.15,15.84
1,39.34,16.07
1,40.53,16.30
1,41.72,16.47
1,42.92,16.74
1,44.11,16.93
1,45.30,18.80
1,46.49,19.55
1,47.68,19.92
1,48.88,19.97
1,50.07,20.14
1,51.26,19.95
1,52.45,19.85
1,53.64,19.91
1,54.84,20.09
1,56.03,20.21
1,57.22,20.30
1,58.41,21.86
1,59.60,22.38
1,60.80,21.56
1,61.99,22.16
1,63.18,23.79
1,64.37,21.83
1,65.57,21.40
1,66.76,22.18
1,67.95,22.65
1,69.14,22.68
1,70.33,22.27
1,71.53,24.85
1,72.72,23.87
1,73.91,23.27
1,75.10,23.32
1,76.29,23.21
1,77.49,22.69
1,78.68,23.10
1,79.87,23.41
1,81.06,24.82
1,82.25,23.58
1,83.45,22.96
1,84.64,24.78
1,85.83,25.06
1,87.02,26.06
1,88.21,27.89
1,89.41,27.48
1,90.60,25.62
1,91.79,25.14
1,92.98,26.02
1,94.18,25.53
1,95.37,24.64
1,96.56,24.50
2,1.19,26.28
2,2.38,10.62
2,3.58,10.77
2,4.77,11.63
2,5.96,12.50
2,7.15,12.31
2,8.34,11.74
2,9.54,14.01
2,10.73,13.20
2,11.92,14.31
2,13.11,13.11
2,14.31,14.73
2,15.50,14.35
2,16.69,14.55
2,17.88,15.10
2,19.07,14.00
2,20.27,16.41
2,21.46,16.28
2,22.65,16.66
2,23.84,16.43
2,25.03,16.49
2,26.23,15.81
2,27.42,15.94
2,28.61,16.34
2,29.80,17.36
2,30.99,17.31
2,32.19,17.81
2,33.38,18.00
2,34.57,18.10
2,35.76,17.61
2,36.95,16.89
2,38.15,17.22
2,39.34,17.35
2,40.53,17.78
2,41.72,18.22
2,42.92,18.18
2,44.11,18.78
2,45.30,18.13
2,46.49,20.12
2,47.68,19.96
2,48.88,20.07
2,50.07,20.80
2,51.26,20.65
2,52.45,20.40
2,53.64,20.70
2,54.84,21.05
2,56.03,20.65
2,57.22,20.69
2,58.41,21.49
2,59.60,21.58
2,60.80,21.09
2,61.99,22.68
2,63.18,21.77
2,64.37,21.86
2,65.57,22.47
2,66.76,21.74
2,67.95,21.42
2,69.14,22.13
2,70.33,21.67
2,71.53,22.69
2,72.72,23.65
2,73.91,23.42
2,75.10,21.82
2,76.29,22.68
2,77.49,24.16
2,78.68,24.60
2,79.87,23.57
2,81.06,23.99
2,82.25,23.85
2,83.45,24.74
2,84.64,22.83
2,85.83,25.33
2,87.02,24.78
2,88.21,25.97
2,89.41,25.16
2,90.60,24.64
2,91.79,24.20
2,92.98,25.66
2,94.18,25.26
2,95.37,25.49
2,96.56,25.85
3,1.19,22.14
3,2.38,11.98
3,3.58,13.34
3,4.77,11.83
3,5.96,12.85
3,7.15,13.00
3,8.34,13.17
3,9.54,13.77
3,10.73,13.18
3,11.92,13.65
3,13.11,14.73
3,14.31,14.95
3,15.50,14.73
3,16.69,14.99
3,17.88,14.43
3,19.07,15.91
3,20.27,14.96
3,21.46,14.37
3,22.65,15.99
3,23.84,15.14
3,25.03,15.43
3,26.23,16.24
3,27.42,16.27
3,28.61,15.57
3,29.80,17.55
3,30.99,17.54
3,32.19,17.24
3,33.38,16.82
3,34.57,17.03
3,35.76,17.36
3,36.95,17.97
3,38.15,17.73
3,39.34,17.78
3,40.53,18.17
3,41.72,18.91
3,42.92,17.48
3,44.11,18.68
3,45.30,19.37
3,46.49,19.83
3,47.68,20.05
3,48.88,19.29
3,50.07,20.87
3,51.26,20.12
3,52.45,20.76
3,53.64,20.60
3,54.84,20.92
3,56.03,20.82
3,57.22,20.32
3,58.41,20.01
3,59.60,20.10
3,60.80,19.79
3,61.99,19.60
3,63.18,20.89
3,64.37,22.07
3,65.57,22.22
3,66.76,22.34
3,67.95,21.89
3,69.14,22.54
3,70.33,24.77
3,71.53,23.98
3,72.72,23.29
3,73.91,22.14
3,75.10,21.93
3,76.29,22.13
3,77.49,23.20
3,78.68,22.88
3,79.87,23.30
3,81.06,23.22
3,82.25,24.22
3,83.45,23.69
3,84.64,23.27
3,85.83,24.60
3,87.02,24.27
3,88.21,24.08
3,89.41,25.42
3,90.60,25.12
3,91.79,24.52
3,92.98,26.08
3,94.18,25.46
3,95.37,26.63
3,96.56,25.92
4,1.19,27.74
4,2.38,10.89
4,3.58,11.16
4,4.77,10.84
4,5.96,11.21
4,7.15,11.27
4,8.34,11.52
4,9.54,12.93
4,10.73,14.23
4,11.92,14.57
4,13.11,14.47
4,14.31,14.50
4,15.50,14.63
4,16.69,13.39
4,17.88,14.99
4,19.07,14.25
4,20.27,16.33
4,21.46,14.96
4,22.65,14.90
4,23.84,14.97
4,25.03,14.29
4,26.23,14.51
4,27.42,14.61
4,28.61,15.26
4,29.80,16.61
4,30.99,17.04
4,32.19,17.27
4,33.38,16.14
4,34.57,16.81
4,35.76,18.05
4,36.95,16.95
4,38.15,18.40
4,39.34,18.83
4,40.53,19.64
4,41.72,17.70
4,42.92,18.10
4,44.11,18.10
4,45.30,18.49
4,46.49,19.11
4,47.68,19.72
4,48.88,19.59
4,50.07,20.41
4,51.26,19.63
4,52.45,20.10
4,53.64,20.20
4,54.84,19.96
4,56.03,20.52
4,57.22,20.93
4,58.41,20.37
4,59.60,20.25
4,60.80,21.24
4,61.99,21.33
4,63.18,20.98
4,64.37,21.83
4,65.57,21.56
4,66.76,22.17
4,67.95,22.61
4,69.14,22.49
4,70.33,22.74
4,71.53,21.82
4,72.72,23.71
4,73.91,23.02
4,75.10,23.31
4,76.29,22.57
4,77.49,23.39
4,78.68,24.12
4,79.87,23.77
4,81.06,23.15
4,82.25,25.01
4,83.45,24.08
4,84.64,22.97
4,85.83,25.57
4,87.02,25.10
4,88.21,25.55
4,89.41,25.25
4,90.60,26.95
4,91.79,25.59
4,92.98,24.96
4,94.18,26.61
4,95.37,26.57
4,96.56,26.02
5,1.19,25.20
5,2.38,13.04
5,3.58,12.15
5,4.77,13.48
5,5.96,11.93
5,7.15,13.52
5,8.34,13.89
5,9.54,14.05
5,10.73,13.93
5,11.92,13.39
5,13.11,14.12
5,14.31,14.36
5,15.50,14.36
5,16.69,13.70
5,17.88,15.53
5,19.07,16.03
5,20.27,14.43
5,21.46,14.95
5,22.65,14.77
5,23.84,14.99
5,25.03,15.20
5,26.23,15.67
5,27.42,16.72
5,28.61,16.15
5,29.80,16.32
5,30.99,16.03
5,32.19,15.26
5,33.38,17.44
5,34.57,16.44
5,35.76,16.08
5,36.95,17.24
5,38.15,17.29
5,39.34,17.10
5,40.53,18.43
5,41.72,18.96
5,42.92,18.19
5,44.11,19.06
5,45.30,19.14
5,46.49,18.13
5,47.68,18.66
5,48.88,18.51
5,50.07,18.77
5,51.26,20.99
5,52.45,19.73
5,53.64,20.08
5,54.84,19.19
5,56.03,21.03
5,57.22,20.87
5,58.41,21.10
5,59.60,20.79
5,60.80,21.03
5,61.99,20.46
5,63.18,21.50
5,64.37,21.69
5,65.57,21.98
5,66.76,21.69
5,67.95,21.60
5,69.14,21.49
5,70.33,22.73
5,71.53,22.82
5,72.72,22.62
5,73.91,22.43
5,75.10,23.77
5,76.29,22.24
5,77.49,24.44
5,78.68,24.36
5,79.87,23.87
5,81.06,23.28
5,82.25,23.54
5,83.45,23.97
5,84.64,25.08
5,85.83,25.58
5,87.02,24.67
5,88.21,25.10
5,89.41,24.32
5,90.60,24.70
5,91.79,24.89
5,92.98,23.98
5,94.18,24.81
5,95.37,26.03
5,96.56,26.32
6,1.19,22.76
6,2.38,11.81
6,3.58,11.87
6,4.77,12.54
6,5.96,11.95
6,7.15,11.67
6,8.34,13.62
6,9.54,13.74
6,10.73,13.65
6,11.92,13.96
6,13.11,14.45
6,14.31,13.89
6,15.50,15.59
6,16.69,15.66
6,17.88,14.82
6,19.07,14.91
6,20.27,15.18
6,21.46,14.84
6,22.65,14.80
6,23.84,16.07
6,25.03,15.94
6,26.23,15.04
6,27.42,16.32
6,28.61,16.91
6,29.80,17.12
6,30.99,17.71
6,32.19,17.43
6,33.38,17.08
6,34.57,16.69
6,35.76,17.91
6,36.95,17.50
6,38.15,17.84
6,39.34,17.61
6,40.53,18.81
