round,table_usage,runtime_ms
0,1.19,13.09
0,2.38,5.33
0,3.58,5.46
0,4.77,5.80
0,5.96,6.07
0,7.15,6.48
0,8.34,6.66
0,9.54,6.99
0,10.73,7.04
0,11.92,7.10
0,13.11,7.14
0,14.31,7.20
0,15.50,7.26
0,16.69,7.29
0,17.88,7.46
0,19.07,7.28
0,20.27,6.96
0,21.46,7.62
0,22.65,7.89
0,23.84,8.05
0,25.03,8.24
0,26.23,8.25
0,27.42,8.07
0,28.61,7.73
0,29.80,8.45
0,30.99,8.52
0,32.19,8.85
0,33.38,8.84
0,34.57,8.86
0,35.76,9.08
0,36.95,8.91
0,38.15,9.07
0,39.34,9.08
0,40.53,9.17
0,41.72,9.02
0,42.92,8.99
0,44.11,8.85
0,45.30,9.53
0,46.49,9.71
0,47.68,9.99
0,48.88,10.27
0,50.07,9.99
0,51.26,9.96
0,52.45,9.98
0,53.64,10.13
0,54.84,9.83
0,56.03,9.82
0,57.22,10.26
0,58.41,10.20
0,59.60,10.52
0,60.80,10.89
0,61.99,10.77
0,63.18,10.93
0,64.37,10.96
0,65.57,10.99
0,66.76,10.89
0,67.95,10.88
0,69.14,11.02
0,70.33,11.07
0,71.53,11.04
0,72.72,11.05
0,73.91,11.00
0,75.10,11.13
0,76.29,11.06
0,77.49,11.09
0,78.68,11.19
0,79.87,11.11
0,81.06,11.32
0,82.25,11.25
0,83.45,11.31
0,84.64,11.37
0,85.83,11.38
0,87.02,11.53
0,88.21,11.50
0,89.41,11.47
0,90.60,11.66
0,91.79,11.60
0,92.98,11.82
0,94.18,11.85
0,95.37,12.08
0,96.56,12.06
1,1.19,15.08
1,2.38,5.73
1,3.58,5.86
1,4.77,6.24
1,5.96,6.28
1,7.15,6.47
1,8.34,6.09
1,9.54,6.51
1,10.73,6.54
1,11.92,6.80
1,13.11,6.97
1,14.31,6.56
1,15.50,7.26
1,16.69,6.95
1,17.88,7.58
1,19.07,7.67
1,20.27,6.99
1,21.46,8.54
1,22.65,7.94
1,23.84,8.37
1,25.03,7.90
1,26.23,8.20
1,27.42,7.57
1,28.61,7.68
1,29.80,8.25
1,30.99,8.12
1,32.19,8.68
1,33.38,8.69
1,34.57,8.95
1,35.76,9.16
1,36.95,9.02
1,38.15,8.93
1,39.34,8.53
1,40.53,9.18
1,41.72,9.43
1,42.92,9.21
1,44.11,9.26
1,45.30,9.06
1,46.49,9.63
1,47.68,9.55
1,48.88,9.86
1,50.07,9.66
1,51.26,9.50
1,52.45,9.89
1,53.64,9.83
1,54.84,9.70
1,56.03,10.37
1,57.22,9.93
1,58.41,10.09
1,59.60,10.13
1,60.80,10.59
1,61.99,10.53
1,63.18,10.67
1,64.37,10.76
1,65.57,10.51
1,66.76,10.43
1,67.95,11.00
1,69.14,11.38
1,70.33,10.72
1,71.53,10.73
1,72.72,11.31
1,73.91,11.11
1,75.10,11.25
1,76.29,11.22
1,77.49,12.39
1,78.68,11.12
1,79.87,11.60
1,81.06,11.73
1,82.25,11.43
1,83.45,11.64
1,84.64,11.35
1,85.83,12.11
1,87.02,12.06
1,88.21,12.42
1,89.41,12.17
1,90.60,12.15
1,91.79,12.19
1,92.98,12.17
1,94.18,12.26
1,95.37,12.27
1,96.56,12.14
2,1.19,14.26
2,2.38,5.42
2,3.58,5.56
2,4.77,5.60
2,5.96,5.91
2,7.15,5.81
2,8.34,5.95
2,9.54,6.13
2,10.73,6.20
2,11.92,6.22
2,13.11,6.30
2,14.31,6.30
2,15.50,6.47
2,16.69,6.55
2,17.88,6.68
2,19.07,6.79
2,20.27,6.79
2,21.46,6.97
2,22.65,7.02
2,23.84,7.07
2,25.03,7.14
2,26.23,7.23
2,27.42,7.36
2,28.61,7.41
2,29.80,7.66
2,30.99,7.98
2,32.19,7.76
2,33.38,7.83
2,34.57,7.93
2,35.76,8.17
2,36.95,8.06
2,38.15,8.11
2,39.34,8.22
