round,table_usage,runtime_ms
0,1.19,14.49
0,2.38,5.75
0,3.58,5.94
0,4.77,3.14
0,5.96,6.12
0,7.15,6.11
0,8.34,6.18
0,9.54,6.30
0,10.73,6.31
0,11.92,6.58
0,13.11,6.53
0,14.31,6.84
0,15.50,6.68
0,16.69,6.76
0,17.88,6.95
0,19.07,6.83
0,20.27,6.97
0,21.46,7.00
0,22.65,7.21
0,23.84,7.48
0,25.03,7.47
0,26.23,7.42
0,27.42,7.51
0,28.61,9.41
0,29.80,8.48
0,30.99,8.29
0,32.19,8.17
0,33.38,8.66
0,34.57,8.25
0,35.76,8.19
0,36.95,8.19
0,38.15,8.47
0,39.34,8.35
0,40.53,8.48
0,41.72,8.56
0,42.92,8.53
0,44.11,8.91
0,45.30,8.86
0,46.49,8.94
0,47.68,8.89
0,48.88,9.21
0,50.07,8.94
0,51.26,9.89
0,52.45,10.22
0,53.64,9.18
0,54.84,9.51
0,56.03,9.50
0,57.22,9.73
0,58.41,9.82
0,59.60,10.49
0,60.80,9.86
0,61.99,11.98
0,63.18,11.35
0,64.37,11.41
0,65.57,12.48
0,66.76,10.41
0,67.95,10.47
0,69.14,10.47
0,70.33,10.48
0,71.53,10.66
0,72.72,11.67
0,73.91,11.22
0,75.10,10.90
0,76.29,11.81
0,77.49,12.12
0,78.68,12.18
0,79.87,12.20
0,81.06,11.51
0,82.25,12.98
0,83.45,12.70
0,84.64,13.98
0,85.83,12.81
0,87.02,13.72
0,88.21,13.07
0,89.41,12.07
0,90.60,13.18
0,91.79,14.98
0,92.98,15.37
0,94.18,12.84
0,95.37,13.31
0,96.56,13.82
1,1.19,20.45
1,2.38,6.21
1,3.58,6.52
1,4.77,6.46
1,5.96,6.49
1,7.15,6.84
1,8.34,6.59
1,9.54,6.41
1,10.73,6.58
1,11.92,6.70
1,13.11,7.61
1,14.31,6.97
1,15.50,7.93
1,16.69,7.15
1,17.88,7.41
1,19.07,7.10
1,20.27,7.74
1,21.46,7.60
1,22.65,7.52
1,23.84,7.76
1,25.03,7.62
1,26.23,7.68
1,27.42,8.19
1,28.61,8.75
1,29.80,8.31
1,30.99,8.68
1,32.19,9.19
1,33.38,9.60
1,34.57,8.37
1,35.76,8.31
1,36.95,8.68
1,38.15,9.18
1,39.34,8.69
1,40.53,8.56
1,41.72,8.62
1,42.92,9.22
1,44.11,8.73
1,45.30,8.88
1,46.49,8.76
1,47.68,9.13
1,48.88,8.93
1,50.07,9.12
1,51.26,9.27
1,52.45,10.83
1,53.64,10.45
1,54.84,9.72
1,56.03,10.19
1,57.22,9.67
1,58.41,10.46
1,59.60,11.82
1,60.80,11.25
1,61.99,11.15
1,63.18,10.48
1,64.37,10.54
1,65.57,10.41
1,66.76,11.14
1,67.95,12.04
1,69.14,10.66
1,70.33,11.13
1,71.53,11.84
1,72.72,11.60
1,73.91,11.58
1,75.10,10.97
1,76.29,11.39
1,77.49,11.80
1,78.68,12.17
1,79.87,12.93
1,81.06,12.23
1,82.25,11.95
1,83.45,12.49
1,84.64,7.31
1,85.83,11.73
1,87.02,12.49
1,88.21,14.31
1,89.41,14.04
1,90.60,15.06
1,91.79,12.55
1,92.98,12.94
1,94.18,15.68
1,95.37,14.49
1,96.56,16.38
2,1.19,14.24
2,2.38,5.71
2,3.58,5.67
2,4.77,5.76
2,5.96,5.95
2,7.15,6.26
2,8.34,6.13
2,9.54,6.53
2,10.73,6.44
2,11.92,6.50
2,13.11,6.59
2,14.31,6.61
2,15.50,6.74
2,16.69,6.84
2,17.88,7.00
2,19.07,7.13
2,20.27,7.59
2,21.46,7.36
2,22.65,7.30
2,23.84,7.38
2,25.03,7.32
2,26.23,7.60
2,27.42,7.68
2,28.61,7.78
2,29.80,7.95
2,30.99,7.94
2,32.19,7.93
2,33.38,7.94
2,34.57,8.20
2,35.76,8.49
2,36.95,8.47
2,38.15,8.37
2,39.34,8.64
2,40.53,8.68
2,41.72,8.57
2,42.92,8.79
2,44.11,8.81
2,45.30,8.83
2,46.49,8.95
2,47.68,9.13
2,48.88,9.25
2,50.07,9.30
2,51.26,9.20
2,52.45,10.54
2,53.64,10.12
2,54.84,9.67
2,56.03,10.85
2,57.22,10.03
2,58.41,9.89
2,59.60,9.86
2,60.80,9.92
2,61.99,11.81
2,63.18,10.31
2,64.37,10.20
2,65.57,10.07
2,66.76,11.23
2,67.95,10.29
2,69.14,10.34
2,70.33,10.51
2,71.53,10.56
2,72.72,10.65
2,73.91,10.68
2,75.10,10.81
2,76.29,11.16
2,77.49,10.84
2,78.68,13.12
2,79.87,12.34
2,81.06,11.14
2,82.25,12.43
2,83.45,13.02
2,84.64,11.21
2,85.83,12.56
2,87.02,12.28
2,88.21,11.50
2,89.41,11.65
2,90.60,13.42
2,91.79,11.75
2,92.98,12.08
2,94.18,11.90
2,95.37,13.56
2,96.56,13.30
3,1.19,13.70
3,2.38,5.58
3,3.58,5.72
3,4.77,5.84
3,5.96,5.95
3,7.15,6.38
3,8.34,5.94
3,9.54,6.19
3,10.73,6.43
3,11.92,6.41
3,13.11,6.51
3,14.31,6.44
3,15.50,6.72
3,16.69,6.67
3,17.88,7.07
3,19.07,7.04
3,20.27,7.06
3,21.46,7.01
3,22.65,7.38
3,23.84,7.33
3,25.03,7.23
3,26.23,7.53
3,27.42,7.39
3,28.61,7.64
3,29.80,7.89
3,30.99,7.84
3,32.19,7.89
3,33.38,8.13
3,34.57,8.25
3,35.76,8.28
3,36.95,8.18
3,38.15,8.47
3,39.34,8.53
3,40.53,8.50
3,41.72,8.59
3,42.92,8.70
3,44.11,8.92
3,45.30,8.84
3,46.49,8.83
3,47.68,9.26
3,48.88,9.20
3,50.07,9.44
3,51.26,9.37
3,52.45,10.09
3,53.64,9.40
3,54.84,9.66
3,56.03,9.64
3,57.22,9.79
3,58.41,9.65
3,59.60,10.65
3,60.80,11.37
3,61.99,10.06
3,63.18,10.09
3,64.37,10.00
3,65.57,11.39
3,66.76,12.48
3,67.95,10.54
3,69.14,10.53
3,70.33,11.16
3,71.53,11.32
3,72.72,10.75
3,73.91,10.68
3,75.10,11.13
3,76.29,11.89
3,77.49,12.01
3,78.68,12.15
3,79.87,12.01
3,81.06,11.57
3,82.25,11.51
3,83.45,11.17
3,84.64,11.28
3,85.83,12.99
3,87.02,13.53
3,88.21,11.94
3,89.41,12.14
3,90.60,13.22
3,91.79,12.94
3,92.98,12.33
3,94.18,13.10
3,95.37,13.80
3,96.56,12.83
4,1.19,13.57
4,2.38,5.56
4,3.58,6.00
4,4.77,5.71
4,5.96,6.09
4,7.15,7.02
4,8.34,6.38
4,9.54,6.38
4,10.73,6.49
4,11.92,6.45
4,13.11,6.42
4,14.31,6.71
4,15.50,6.74
4,16.69,6.95
4,17.88,6.97
4,19.07,7.15
4,20.27,7.29
4,21.46,7.22
4,22.65,7.36
4,23.84,7.28
4,25.03,7.41
4,26.23,7.51
4,27.42,7.57
4,28.61,7.62
4,29.80,7.91
4,30.99,7.94
4,32.19,7.98
4,33.38,9.45
4,34.57,8.39
4,35.76,8.43
4,36.95,8.35
4,38.15,8.58
4,39.34,8.61
4,40.53,8.71
4,41.72,8.51
4,42.92,8.65
4,44.11,8.88
4,45.30,9.07
4,46.49,9.22
4,47.68,9.39
4,48.88,9.47
4,50.07,10.11
4,51.26,9.76
4,52.45,10.57
4,53.64,10.22
4,54.84,9.76
4,56.03,10.11
4,57.22,11.33
4,58.41,11.11
4,59.60,10.30
4,60.80,11.66
4,61.99,10.86
4,63.18,10.35
4,64.37,10.39
4,65.57,10.36
4,66.76,10.50
4,67.95,10.69
4,69.14,11.82
4,70.33,11.08
4,71.53,11.13
4,72.72,11.49
4,73.91,12.13
4,75.10,11.21
4,76.29,12.46
4,77.49,12.79
4,78.68,12.33
4,79.87,12.29
4,81.06,12.00
4,82.25,11.96
4,83.45,12.59
4,84.64,14.26
4,85.83,12.01
4,87.02,13.66
4,88.21,13.58
4,89.41,13.49
4,90.60,13.69
4,91.79,13.83
4,92.98,13.40
4,94.18,12.80
4,95.37,12.79
4,96.56,13.51
5,1.19,15.28
5,2.38,5.95
5,3.58,6.00
5,4.77,5.88
5,5.96,6.16
5,7.15,6.29
5,8.34,6.29
5,9.54,6.33
5,10.73,6.69
5,11.92,6.53
5,13.11,6.68
5,14.31,6.92
5,15.50,8.53
5,16.69,7.70
5,17.88,7.28
5,19.07,7.39
5,20.27,7.52
5,21.46,7.33
5,22.65,7.68
5,23.84,7.60
5,25.03,7.64
5,26.23,7.99
5,27.42,7.84
5,28.61,12.92
5,29.80,8.13
5,30.99,8.33
5,32.19,8.48
5,33.38,8.76
5,34.57,8.45
5,35.76,8.65
5,36.95,8.68
5,38.15,8.82
5,39.34,8.91
5,40.53,8.82
5,41.72,8.75
5,42.92,9.20
5,44.11,9.26
5,45.30,9.66
5,46.49,9.25
5,47.68,9.40
5,48.88,9.38
5,50.07,9.26
5,51.26,10.03
5,52.45,9.72
5,53.64,10.86
5,54.84,9.78
5,56.03,10.35
5,57.22,10.15
5,58.41,9.92
5,59.60,11.56
5,60.80,11.13
5,61.99,11.71
5,63.18,10.40
5,64.37,10.60
5,65.57,11.09
5,66.76,10.57
5,67.95,11.21
5,69.14,10.56
5,70.33,10.56
5,71.53,10.65
5,72.72,10.84
5,73.91,10.95
5,75.10,11.99
5,76.29,11.04
5,77.49,12.72
5,78.68,11.31
5,79.87,11.85
5,81.06,11.36
5,82.25,11.38
5,83.45,11.56
5,84.64,12.54
5,85.83,14.33
5,87.02,11.87
5,88.21,12.70
5,89.41,11.71
5,90.60,13.05
5,91.79,13.79
5,92.98,12.54
5,94.18,14.38
5,95.37,13.56
5,96.56,13.86
6,1.19,15.69
6,2.38,5.61
6,3.58,5.90
6,4.77,5.97
6,5.96,6.15
6,7.15,6.42
6,8.34,6.54
6,9.54,6.27
6,10.73,6.72
6,11.92,6.99
6,13.11,6.65
6,14.31,6.86
6,15.50,6.69
6,16.69,6.75
6,17.88,6.87
6,19.07,6.94
6,20.27,7.03
6,21.46,7.19
6,22.65,7.24
6,23.84,7.23
6,25.03,7.26
6,26.23,7.39
6,27.42,7.58
6,28.61,7.50
6,29.80,7.92
6,30.99,8.01
6,32.19,7.94
6,33.38,7.94
6,34.57,8.30
6,35.76,8.26
6,36.95,8.17
6,38.15,8.36
6,39.34,8.56
