round,table_usage,runtime_ms
3,42.91,12.17
3,44.11,11.79
3,45.30,11.91
3,46.49,11.77
3,47.68,11.90
3,48.88,12.37
3,50.07,12.26
3,51.26,12.75
3,52.45,12.99
3,53.64,12.81
3,54.84,12.87
3,56.03,13.07
3,57.22,12.91
3,58.41,13.67
3,59.60,13.47
3,60.80,13.32
3,61.99,13.48
3,63.18,15.24
3,64.37,13.76
3,65.56,14.03
3,66.76,14.40
3,67.95,15.86
3,69.14,15.90
3,70.33,14.35
3,71.52,13.97
3,72.72,14.76
3,73.91,15.07
3,75.10,15.26
3,76.29,14.90
3,77.49,16.11
3,78.68,15.10
3,79.87,15.19
3,81.06,16.83
3,82.25,16.24
3,83.45,14.95
3,84.64,15.15
3,85.83,15.48
3,87.02,15.89
3,88.21,15.63
3,89.41,15.79
3,90.60,16.37
3,91.79,15.63
3,92.98,17.57
3,94.17,16.44
3,95.37,15.98
3,96.56,16.46
4,1.19,18.86
4,2.38,7.62
4,3.58,8.22
4,4.77,7.83
4,5.96,8.07
4,7.15,8.24
4,8.34,8.29
4,9.54,8.63
4,10.73,8.43
4,11.92,8.82
4,13.11,8.95
4,14.30,8.95
4,15.50,9.23
4,16.69,8.93
4,17.88,9.12
4,19.07,9.31
4,20.27,9.56
4,21.46,9.63
4,22.65,9.95
4,23.84,10.09
4,25.03,10.16
4,26.23,10.18
4,27.42,10.67
4,28.61,10.28
4,29.80,10.43
4,30.99,10.54
4,32.19,10.90
4,33.38,11.03
4,34.57,11.04
4,35.76,10.93
4,36.95,11.54
4,38.15,11.50
4,39.34,11.91
4,40.53,11.88
4,41.72,11.68
4,42.91,12.08
4,44.11,11.69
4,45.30,11.96
4,46.49,11.88
4,47.68,12.06
4,48.88,11.95
4,50.07,12.12
4,51.26,12.77
4,52.45,12.78
4,53.64,13.13
4,54.84,12.67
4,56.03,12.82
4,57.22,13.12
4,58.41,13.72
4,59.60,14.10
4,60.80,13.22
4,61.99,13.32
4,63.18,14.08
4,64.37,13.56
4,65.56,14.86
4,66.76,14.79
4,67.95,13.87
4,69.14,14.64
4,70.33,14.25
4,71.52,15.41
4,72.72,15.51
4,73.91,16.57
4,75.10,14.70
4,76.29,15.61
4,77.49,15.38
4,78.68,16.03
4,79.87,15.64
4,81.06,14.75
4,82.25,15.51
4,83.45,15.48
4,84.64,15.23
4,85.83,15.82
4,87.02,16.39
4,88.21,16.64
4,89.41,15.52
4,90.60,16.26
4,91.79,17.25
4,92.98,17.14
4,94.17,16.81
4,95.37,17.45
4,96.56,16.79
5,1.19,18.28
5,2.38,7.74
5,3.58,7.92
5,4.77,7.91
5,5.96,8.49
5,7.15,8.30
5,8.34,8.33
5,9.54,8.58
5,10.73,8.31
5,11.92,8.89
5,13.11,8.93
5,14.30,8.85
5,15.50,8.95
5,16.69,9.30
5,17.88,9.46
5,19.07,9.98
5,20.27,9.61
5,21.46,9.88
5,22.65,9.56
5,23.84,9.85
5,25.03,10.40
5,26.23,10.09
5,27.42,10.55
5,28.61,9.97
5,29.80,11.21
5,30.99,10.28
5,32.19,10.37
5,33.38,10.67
5,34.57,11.26
5,35.76,11.41
5,36.95,10.82
5,38.15,11.04
5,39.34,11.53
5,40.53,11.88
5,41.72,11.08
5,42.91,11.54
5,44.11,11.90
5,45.30,11.49
5,46.49,12.08
5,47.68,11.61
5,48.88,12.20
5,50.07,12.10
5,51.26,12.14
5,52.45,12.31
5,53.64,13.23
5,54.84,13.02
5,56.03,12.68
5,57.22,13.52
5,58.41,13.21
5,59.60,14.65
5,60.80,13.30
5,61.99,14.35
5,63.18,15.75
5,64.37,14.32
5,65.56,14.71
5,66.76,14.64
5,67.95,14.15
5,69.14,14.16
5,70.33,14.22
5,71.52,14.84
5,72.72,15.35
5,73.91,14.32
5,75.10,15.27
5,76.29,15.64
5,77.49,15.28
5,78.68,15.22
5,79.87,15.38
5,81.06,14.89
5,82.25,28.97
5,83.45,20.55
5,84.64,17.79
5,85.83,17.73
5,87.02,17.34
5,88.21,15.48
5,89.41,17.00
5,90.60,18.29
5,91.79,16.38
5,92.98,17.47
5,94.17,18.77
5,95.37,16.28
5,96.56,18.11
6,1.19,15.97
6,2.38,7.28
6,3.58,8.13
6,4.77,8.13
6,5.96,7.74
6,7.15,8.16
6,8.34,8.29
6,9.54,8.59
6,10.73,8.74
6,11.92,8.68
6,13.11,8.61
6,14.30,8.87
6,15.50,8.94
6,16.69,8.93
6,17.88,9.37
6,19.07,9.12
6,20.27,9.68
6,21.46,9.81
6,22.65,9.68
6,23.84,9.95
6,25.03,10.25
6,26.23,10.29
6,27.42,10.75
6,28.61,10.60
6,29.80,10.51
6,30.99,10.27
6,32.19,10.96
6,33.38,11.06
6,34.57,11.08
6,35.76,11.19
6,36.95,11.20
6,38.15,11.69
6,39.34,11.50
6,40.53,11.41
6,41.72,11.73
6,42.91,11.44
6,44.11,12.63
6,45.30,11.66
6,46.49,12.00
6,47.68,12.23
6,48.88,12.46
6,50.07,12.58
6,51.26,12.63
6,52.45,12.65
6,53.64,12.60
6,54.84,12.74
6,56.03,12.66
6,57.22,13.02
6,58.41,12.93
6,59.60,13.33
6,60.80,13.46
6,61.99,14.99
6,63.18,13.81
6,64.37,14.16
6,65.56,13.79
6,66.76,13.94
6,67.95,15.19
6,69.14,14.61
6,70.33,15.73
6,71.52,14.39
6,72.72,14.80
6,73.91,14.38
6,75.10,15.82
6,76.29,15.43
6,77.49,15.84
6,78.68,15.11
6,79.87,14.69
6,81.06,15.22
6,82.25,16.07
6,83.45,15.58
6,84.64,17.07
6,85.83,15.73
6,87.02,15.95
6,88.21,16.47
6,89.41,16.37
6,90.60,16.14
6,91.79,15.79
6,92.98,15.83
6,94.17,18.53
6,95.37,16.88
6,96.56,17.28
7,1.19,16.20
7,2.38,10.22
7,3.58,7.67
7,4.77,7.90
7,5.96,8.22
7,7.15,8.23
7,8.34,8.10
7,9.54,8.46
7,10.73,8.29
7,11.92,8.85
7,13.11,9.44
7,14.30,9.67
7,15.50,9.91
7,16.69,9.14
7,17.88,9.57
7,19.07,10.27
7,20.27,8.93
7,21.46,10.18
7,22.65,9.76
7,23.84,10.02
7,25.03,10.85
7,26.23,10.30
7,27.42,10.18
7,28.61,10.04
7,29.80,10.92
7,30.99,10.43
7,32.19,11.41
7,33.38,10.99
7,34.57,10.88
7,35.76,11.44
7,36.95,12.48
7,38.15,12.11
7,39.34,12.49
7,40.53,11.88
7,41.72,12.40
7,42.91,11.31
7,44.11,12.03
7,45.30,12.15
7,46.49,12.36
7,47.68,12.72
7,48.88,12.87
7,50.07,12.41
7,51.26,12.61
7,52.45,12.75
7,53.64,13.64
7,54.84,13.24
7,56.03,12.91
7,57.22,13.56
7,58.41,13.81
7,59.60,13.26
