round,table_usage,runtime_ms
0,1.19,20.61
0,2.38,10.61
0,3.58,5.37
0,4.77,5.48
0,5.96,5.90
0,7.15,5.75
0,8.34,6.06
0,9.54,6.07
0,10.73,5.90
0,11.92,6.14
0,13.11,6.07
0,14.31,5.98
0,15.50,5.88
0,16.69,5.50
0,17.88,5.68
0,19.07,5.84
0,20.27,6.10
0,21.46,6.19
0,22.65,6.19
0,23.84,6.33
0,25.03,6.35
0,26.23,6.38
0,27.42,6.37
0,28.61,6.24
0,29.80,6.39
0,30.99,6.28
0,32.19,6.23
0,33.38,6.30
0,34.57,6.21
0,35.76,6.35
0,36.95,6.27
0,38.15,6.27
0,39.34,6.44
0,40.53,6.37
0,41.72,6.52
0,42.92,6.62
0,44.11,6.64
0,45.30,6.86
0,46.49,6.93
0,47.68,7.15
0,48.88,7.29
0,50.07,7.96
0,51.26,8.77
0,52.45,8.72
0,53.64,9.03
0,54.84,9.85
0,56.03,9.47
0,57.22,13.76
0,58.41,10.94
0,59.60,10.85
0,60.80,10.76
0,61.99,12.06
0,63.18,12.30
0,64.37,12.36
0,65.57,13.40
0,66.76,13.76
0,67.95,14.31
0,69.14,14.29
0,70.33,14.55
0,71.53,14.79
0,72.72,14.74
0,73.91,14.87
0,75.10,15.45
0,76.29,15.59
0,77.49,16.19
0,78.68,16.34
0,79.87,16.59
0,81.06,16.98
0,82.25,17.19
0,83.45,17.73
0,84.64,18.43
0,85.83,19.24
0,87.02,21.41
0,88.21,21.97
0,89.41,23.33
0,90.60,24.11
0,91.79,27.38
0,92.98,30.84
0,94.18,34.13
0,95.37,39.02
1,1.19,17.88
1,2.38,5.45
1,3.58,5.36
1,4.77,5.56
1,5.96,5.71
1,7.15,5.81
1,8.34,5.70
1,9.54,11.78
1,10.73,5.50
1,11.92,5.66
1,13.11,5.51
1,14.31,5.51
1,15.50,5.87
1,16.69,5.98
1,17.88,5.66
1,19.07,6.05
1,20.27,5.85
1,21.46,5.81
1,22.65,5.75
1,23.84,6.10
1,25.03,5.91
1,26.23,5.73
1,27.42,5.91
1,28.61,6.29
1,29.80,6.30
1,30.99,5.80
1,32.19,6.65
1,33.38,6.69
1,34.57,6.22
1,35.76,12.07
1,36.95,6.15
1,38.15,6.71
1,39.34,6.40
1,40.53,6.45
1,41.72,6.85
1,42.92,6.58
1,44.11,7.17
1,45.30,6.98
1,46.49,7.12
1,47.68,7.83
1,48.88,7.94
1,50.07,8.36
1,51.26,8.85
1,52.45,9.40
1,53.64,9.69
1,54.84,10.19
1,56.03,10.11
1,57.22,9.88
1,58.41,10.74
1,59.60,10.90
1,60.80,11.42
1,61.99,11.69
1,63.18,11.96
1,64.37,12.23
1,65.57,12.43
1,66.76,12.58
1,67.95,12.44
1,69.14,12.61
1,70.33,13.54
1,71.53,13.30
1,72.72,13.80
1,73.91,14.33
1,75.10,14.71
1,76.29,15.78
1,77.49,16.13
1,78.68,15.98
1,79.87,16.55
1,81.06,17.46
1,82.25,18.50
1,83.45,19.45
1,84.64,19.65
1,85.83,20.49
1,87.02,20.89
1,88.21,21.63
1,89.41,23.17
1,90.60,24.26
1,91.79,26.25
1,92.98,28.75
1,94.18,31.95
1,95.37,39.42
2,1.19,16.48
2,2.38,5.29
2,3.58,5.01
2,4.77,5.02
