round,table_usage,runtime_ms
0,1.19,17.00
0,2.38,6.75
0,3.58,6.90
0,4.77,7.13
0,5.96,7.19
0,7.15,7.19
0,8.34,6.98
0,9.54,7.36
0,10.73,7.12
0,11.92,7.52
0,13.11,7.32
0,14.30,7.39
0,15.50,7.35
0,16.69,7.23
0,17.88,7.41
0,19.07,7.37
0,20.27,7.71
0,21.46,7.29
0,22.65,7.60
0,23.84,7.96
0,25.03,8.09
0,26.23,7.66
0,27.42,7.74
0,28.61,7.98
0,29.80,8.07
0,30.99,7.82
0,32.19,8.10
0,33.38,8.46
0,34.57,8.10
0,35.76,7.84
0,36.95,13.03
0,38.15,8.74
0,39.34,8.82
0,40.53,8.75
0,41.72,9.60
0,42.91,9.36
0,44.11,9.13
0,45.30,8.77
0,46.49,9.89
0,47.68,9.82
0,48.88,10.20
0,50.07,11.06
0,51.26,10.96
0,52.45,11.70
0,53.64,10.96
0,54.84,12.81
0,56.03,13.84
0,57.22,14.28
0,58.41,13.32
0,59.60,14.34
0,60.80,15.64
0,61.99,16.12
0,63.18,15.69
0,64.37,16.95
0,65.56,16.16
0,66.76,16.93
0,67.95,17.29
0,69.14,18.87
0,70.33,18.76
0,71.52,18.00
0,72.72,19.26
0,73.91,20.45
0,75.10,19.58
0,76.29,20.05
0,77.49,22.16
0,78.68,22.24
0,79.87,21.79
0,81.06,22.97
0,82.25,23.32
0,83.45,24.40
0,84.64,26.22
0,85.83,26.28
0,87.02,27.44
0,88.21,28.83
0,89.41,30.68
0,90.60,34.75
0,91.79,36.14
0,92.98,40.77
0,94.17,46.87
0,95.37,53.16
1,1.19,18.05
1,2.38,6.84
1,3.58,6.59
1,4.77,6.88
1,5.96,6.88
1,7.15,7.20
1,8.34,7.30
1,9.54,7.10
1,10.73,7.50
1,11.92,6.98
1,13.11,7.22
1,14.30,7.40
1,15.50,7.39
1,16.69,7.18
1,17.88,7.30
1,19.07,7.19
1,20.27,7.42
1,21.46,7.98
1,22.65,7.54
1,23.84,7.89
1,25.03,7.79
1,26.23,7.88
1,27.42,8.19
1,28.61,7.71
1,29.80,8.35
1,30.99,8.10
1,32.19,7.89
1,33.38,8.47
1,34.57,8.42
1,35.76,8.38
1,36.95,8.28
1,38.15,9.09
1,39.34,8.96
1,40.53,8.40
1,41.72,9.43
1,42.91,8.89
1,44.11,9.07
1,45.30,8.95
1,46.49,9.97
1,47.68,9.45
1,48.88,10.74
1,50.07,10.19
1,51.26,11.25
1,52.45,11.15
1,53.64,11.34
1,54.84,12.71
1,56.03,13.22
1,57.22,13.05
1,58.41,15.14
1,59.60,13.18
1,60.80,14.24
1,61.99,17.03
1,63.18,15.92
1,64.37,16.75
1,65.56,18.38
1,66.76,17.23
1,67.95,18.84
1,69.14,18.38
1,70.33,19.76
1,71.52,25.59
1,72.72,20.95
1,73.91,21.22
1,75.10,22.00
1,76.29,26.94
1,77.49,24.05
1,78.68,23.89
1,79.87,23.41
1,81.06,24.16
1,82.25,26.00
1,83.45,25.27
1,84.64,26.47
1,85.83,26.14
1,87.02,27.62
1,88.21,41.03
1,89.41,42.58
1,90.60,99.18
1,91.79,95.00
1,92.98,69.13
1,94.17,60.68
1,95.37,69.52
2,1.19,35.12
2,2.38,7.45
2,3.58,7.58
2,4.77,7.80
2,5.96,7.67
2,7.15,10.54
2,8.34,7.70
2,9.54,7.92
2,10.73,7.78
2,11.92,15.74
2,13.11,8.33
2,14.30,9.78
2,15.50,9.31
2,16.69,9.82
2,17.88,8.44
2,19.07,8.88
2,20.27,8.21
2,21.46,7.99
2,22.65,8.38
2,23.84,9.45
2,25.03,10.32
2,26.23,8.19
2,27.42,8.13
2,28.61,8.26
2,29.80,8.24
2,30.99,7.97
2,32.19,8.12
2,33.38,14.35
2,34.57,8.50
2,35.76,8.40
2,36.95,8.69
2,38.15,8.72
2,39.34,9.00
2,40.53,9.05
2,41.72,9.63
2,42.91,9.41
2,44.11,9.58
2,45.30,9.64
2,46.49,12.85
2,47.68,9.97
2,48.88,10.41
2,50.07,10.99
2,51.26,13.09
2,52.45,11.46
2,53.64,12.32
2,54.84,12.44
2,56.03,13.23
2,57.22,13.90
2,58.41,15.56
2,59.60,20.51
2,60.80,14.89
2,61.99,15.36
2,63.18,15.65
2,64.37,16.45
2,65.56,15.78
2,66.76,16.49
2,67.95,17.94
2,69.14,18.13
2,70.33,17.97
2,71.52,18.29
2,72.72,19.23
2,73.91,19.13
2,75.10,20.55
2,76.29,21.24
2,77.49,22.28
2,78.68,21.51
2,79.87,21.79
2,81.06,23.42
2,82.25,23.36
2,83.45,23.98
2,84.64,25.31
2,85.83,26.89
2,87.02,28.65
2,88.21,28.46
2,89.41,31.08
2,90.60,33.46
2,91.79,36.35
2,92.98,40.32
2,94.17,45.38
2,95.37,51.50
3,1.19,15.18
3,2.38,7.02
3,3.58,6.79
3,4.77,7.09
3,5.96,7.42
3,7.15,8.15
3,8.34,8.04
3,9.54,7.51
3,10.73,7.54
3,11.92,7.73
3,13.11,7.03
3,14.30,7.91
3,15.50,7.18
3,16.69,8.29
3,17.88,8.28
3,19.07,8.62
3,20.27,7.28
3,21.46,8.34
3,22.65,11.90
3,23.84,8.10
3,25.03,7.55
3,26.23,7.59
3,27.42,8.72
3,28.61,8.47
3,29.80,7.94
3,30.99,7.86
3,32.19,8.10
3,33.38,8.24
3,34.57,8.21
3,35.76,9.05
3,36.95,8.46
3,38.15,9.11
3,39.34,8.85
3,40.53,9.19
3,41.72,8.82
3,42.91,9.27
3,44.11,10.15
3,45.30,9.09
3,46.49,9.92
3,47.68,10.52
3,48.88,11.24
3,50.07,11.77
3,51.26,10.31
3,52.45,11.74
3,53.64,13.56
3,54.84,12.74
3,56.03,12.87
3,57.22,13.82
3,58.41,15.06
3,59.60,13.91
3,60.80,15.00
3,61.99,15.70
3,63.18,15.77
3,64.37,15.22
3,65.56,16.37
3,66.76,17.78
3,67.95,18.53
3,69.14,18.49
3,70.33,19.42
3,71.52,19.37
3,72.72,20.08
3,73.91,19.65
3,75.10,19.25
3,76.29,20.90
3,77.49,20.41
3,78.68,21.73
3,79.87,22.06
3,81.06,23.95
3,82.25,25.09
