round,table_usage,runtime_ns
0,1.19,134.00
0,2.38,44.00
0,3.58,44.00
0,4.77,44.00
0,5.96,51.00
0,7.15,55.00
0,8.34,52.00
0,9.54,55.00
0,10.73,55.00
0,11.92,51.00
0,13.11,52.00
0,14.30,55.00
0,15.50,52.00
0,16.69,55.00
0,17.88,55.00
0,19.07,52.00
0,20.27,51.00
0,21.46,48.00
0,22.65,48.00
0,23.84,51.00
0,25.03,48.00
0,26.23,48.00
0,27.42,48.00
0,28.61,48.00
0,29.80,51.00
0,30.99,56.00
0,32.19,56.00
0,33.38,59.00
0,34.57,59.00
0,35.76,56.00
0,36.95,55.00
0,38.15,59.00
0,39.34,56.00
0,40.53,55.00
0,41.72,55.00
0,42.91,52.00
0,44.11,55.00
0,45.30,55.00
0,46.49,55.00
0,47.68,55.00
0,48.88,52.00
0,50.07,55.00
0,51.26,60.00
0,52.45,60.00
0,53.64,63.00
0,54.84,60.00
0,56.03,56.00
0,57.22,59.00
0,58.41,59.00
0,59.60,56.00
0,60.80,59.00
0,61.99,56.00
0,63.18,59.00
0,64.37,56.00
0,65.56,56.00
0,66.76,59.00
0,67.95,56.00
0,69.14,56.00
0,70.33,59.00
0,71.52,60.00
0,72.72,71.00
0,73.91,68.00
0,75.10,68.00
0,76.29,68.00
0,77.49,64.00
0,78.68,71.00
0,79.87,75.00
0,81.06,75.00
0,82.25,76.00
0,83.45,79.00
0,84.64,80.00
0,85.83,79.00
0,87.02,80.00
0,88.21,84.00
0,89.41,92.00
0,90.60,95.00
0,91.79,100.00
0,92.98,111.00
0,94.17,120.00
0,95.37,140.00
0,96.56,175.00
1,1.19,132.00
1,2.38,44.00
1,3.58,44.00
1,4.77,44.00
1,5.96,47.00
1,7.15,44.00
1,8.34,47.00
1,9.54,44.00
1,10.73,47.00
1,11.92,48.00
1,13.11,51.00
1,14.30,47.00
1,15.50,44.00
1,16.69,47.00
1,17.88,48.00
1,19.07,48.00
1,20.27,47.00
1,21.46,47.00
1,22.65,47.00
1,23.84,47.00
1,25.03,44.00
1,26.23,52.00
1,27.42,56.00
1,28.61,55.00
1,29.80,56.00
1,30.99,55.00
1,32.19,55.00
1,33.38,56.00
1,34.57,52.00
1,35.76,52.00
1,36.95,55.00
1,38.15,55.00
1,39.34,63.00
1,40.53,60.00
1,41.72,56.00
1,42.91,59.00
1,44.11,56.00
1,45.30,59.00
1,46.49,59.00
1,47.68,56.00
1,48.88,56.00
1,50.07,56.00
1,51.26,55.00
1,52.45,55.00
1,53.64,56.00
1,54.84,56.00
1,56.03,59.00
1,57.22,56.00
1,58.41,63.00
1,59.60,63.00
1,60.80,67.00
1,61.99,63.00
1,63.18,63.00
1,64.37,60.00
1,65.56,59.00
1,66.76,63.00
1,67.95,60.00
1,69.14,56.00
1,70.33,64.00
1,71.52,64.00
1,72.72,67.00
1,73.91,68.00
1,75.10,68.00
1,76.29,71.00
1,77.49,68.00
1,78.68,68.00
1,79.87,71.00
1,81.06,72.00
1,82.25,75.00
1,83.45,76.00
1,84.64,83.00
1,85.83,83.00
1,87.02,87.00
1,88.21,88.00
1,89.41,95.00
1,90.60,96.00
1,91.79,111.00
1,92.98,123.00
1,94.17,135.00
1,95.37,151.00
1,96.56,176.00
2,1.19,90.00
2,2.38,44.00
2,3.58,47.00
2,4.77,44.00
2,5.96,47.00
2,7.15,47.00
2,8.34,44.00
2,9.54,47.00
2,10.73,44.00
2,11.92,47.00
2,13.11,44.00
2,14.30,44.00
2,15.50,44.00
2,16.69,47.00
2,17.88,47.00
2,19.07,47.00
2,20.27,44.00
2,21.46,47.00
2,22.65,47.00
2,23.84,47.00
2,25.03,47.00
2,26.23,48.00
2,27.42,48.00
2,28.61,51.00
2,29.80,48.00
2,30.99,51.00
2,32.19,48.00
2,33.38,48.00
2,34.57,51.00
2,35.76,48.00
2,36.95,55.00
2,38.15,55.00
2,39.34,55.00
2,40.53,55.00
2,41.72,55.00
2,42.91,52.00
2,44.11,52.00
2,45.30,55.00
2,46.49,52.00
2,47.68,56.00
2,48.88,56.00
2,50.07,56.00
2,51.26,55.00
2,52.45,55.00
2,53.64,52.00
2,54.84,55.00
2,56.03,55.00
2,57.22,55.00
2,58.41,52.00
2,59.60,55.00
2,60.80,52.00
2,61.99,55.00
2,63.18,55.00
2,64.37,55.00
2,65.56,55.00
2,66.76,56.00
2,67.95,56.00
2,69.14,59.00
2,70.33,56.00
2,71.52,59.00
2,72.72,64.00
2,73.91,87.00
2,75.10,74.00
2,76.29,85.00
2,77.49,71.00
2,78.68,64.00
2,79.87,76.00
2,81.06,71.00
2,82.25,71.00
2,83.45,72.00
2,84.64,76.00
2,85.83,83.00
2,87.02,88.00
2,88.21,95.00
2,89.41,92.00
2,90.60,100.00
2,91.79,115.00
2,92.98,127.00
2,94.17,139.00
2,95.37,159.00
2,96.56,176.00
3,1.19,140.00
3,2.38,47.00
3,3.58,44.00
3,4.77,44.00
3,5.96,44.00
3,7.15,47.00
3,8.34,48.00
3,9.54,52.00
3,10.73,55.00
3,11.92,55.00
3,13.11,52.00
3,14.30,55.00
3,15.50,52.00
3,16.69,48.00
3,17.88,47.00
3,19.07,51.00
3,20.27,48.00
3,21.46,47.00
3,22.65,48.00
3,23.84,51.00
3,25.03,47.00
3,26.23,48.00
3,27.42,48.00
3,28.61,52.00
3,29.80,56.00
3,30.99,56.00
3,32.19,56.00
3,33.38,56.00
3,34.57,59.00
3,35.76,56.00
3,36.95,59.00
3,38.15,56.00
3,39.34,55.00
3,40.53,55.00
3,41.72,55.00
3,42.91,52.00
3,44.11,52.00
3,45.30,55.00
3,46.49,55.00
3,47.68,52.00
3,48.88,55.00
3,50.07,55.00
3,51.26,52.00
3,52.45,56.00
3,53.64,64.00
3,54.84,63.00
3,56.03,63.00
3,57.22,60.00
3,58.41,60.00
3,59.60,60.00
3,60.80,60.00
3,61.99,64.00
3,63.18,63.00
3,64.37,63.00
3,65.56,60.00
3,66.76,60.00
3,67.95,63.00
3,69.14,59.00
3,70.33,63.00
3,71.52,60.00
3,72.72,63.00
3,73.91,63.00
3,75.10,64.00
3,76.29,64.00
3,77.49,67.00
3,78.68,64.00
3,79.87,67.00
3,81.06,67.00
3,82.25,67.00
3,83.45,68.00
3,84.64,71.00
3,85.83,75.00
3,87.02,76.00
3,88.21,83.00
3,89.41,88.00
3,90.60,104.00
3,91.79,111.00
3,92.98,116.00
3,94.17,131.00
3,95.37,143.00
3,96.56,168.00
4,1.19,135.00
4,2.38,44.00
4,3.58,47.00
4,4.77,44.00
4,5.96,44.00
4,7.15,44.00
4,8.34,44.00
4,9.54,47.00
4,10.73,44.00
4,11.92,44.00
4,13.11,44.00
4,14.30,47.00
4,15.50,44.00
4,16.69,47.00
4,17.88,51.00
4,19.07,56.00
4,20.27,56.00
4,21.46,55.00
4,22.65,52.00
4,23.84,51.00
4,25.03,56.00
4,26.23,55.00
4,27.42,56.00
4,28.61,55.00
4,29.80,55.00
4,30.99,56.00
4,32.19,55.00
4,33.38,55.00
4,34.57,55.00
4,35.76,52.00
4,36.95,52.00
4,38.15,52.00
4,39.34,55.00
4,40.53,52.00
4,41.72,55.00
4,42.91,52.00
4,44.11,55.00
4,45.30,55.00
4,46.49,55.00
4,47.68,52.00
4,48.88,55.00
4,50.07,52.00
4,51.26,52.00
4,52.45,55.00
4,53.64,52.00
4,54.84,55.00
4,56.03,56.00
4,57.22,59.00
4,58.41,63.00
4,59.60,60.00
4,60.80,60.00
4,61.99,64.00
