round,table_usage,runtime_ns
3,42.92,39.00
3,44.11,39.00
3,45.30,39.00
3,46.49,40.00
3,47.68,40.00
3,48.88,40.00
3,50.07,40.00
3,51.26,39.00
3,52.45,40.00
3,53.64,43.00
3,54.84,40.00
3,56.03,40.00
3,57.22,40.00
3,58.41,40.00
3,59.60,43.00
3,60.80,40.00
3,61.99,40.00
3,63.18,43.00
3,64.37,40.00
3,65.57,43.00
3,66.76,40.00
3,67.95,43.00
3,69.14,43.00
3,70.33,40.00
3,71.53,43.00
3,72.72,43.00
3,73.91,43.00
3,75.10,44.00
3,76.29,52.00
3,77.49,48.00
3,78.68,52.00
3,79.87,55.00
3,81.06,55.00
3,82.25,55.00
3,83.45,56.00
3,84.64,59.00
3,85.83,59.00
3,87.02,60.00
3,88.21,63.00
3,89.41,67.00
3,90.60,71.00
3,91.79,75.00
3,92.98,80.00
3,94.18,91.00
3,95.37,107.00
3,96.56,124.00
4,1.19,121.00
4,2.38,32.00
4,3.58,35.00
4,4.77,32.00
4,5.96,35.00
4,7.15,32.00
4,8.34,35.00
4,9.54,35.00
4,10.73,35.00
4,11.92,35.00
4,13.11,40.00
4,14.31,40.00
4,15.50,40.00
4,16.69,40.00
4,17.88,43.00
4,19.07,40.00
4,20.27,40.00
4,21.46,40.00
4,22.65,40.00
4,23.84,40.00
4,25.03,39.00
4,26.23,39.00
4,27.42,39.00
4,28.61,39.00
4,29.80,36.00
4,30.99,36.00
4,32.19,39.00
4,33.38,36.00
4,34.57,36.00
4,35.76,36.00
4,36.95,39.00
4,38.15,39.00
4,39.34,36.00
4,40.53,36.00
4,41.72,40.00
4,42.92,39.00
4,44.11,36.00
4,45.30,39.00
4,46.49,39.00
4,47.68,39.00
4,48.88,40.00
4,50.07,40.00
4,51.26,40.00
4,52.45,39.00
4,53.64,40.00
4,54.84,40.00
4,56.03,40.00
4,57.22,43.00
4,58.41,40.00
4,59.60,43.00
4,60.80,40.00
4,61.99,43.00
4,63.18,43.00
4,64.37,40.00
4,65.57,47.00
4,66.76,47.00
4,67.95,52.00
4,69.14,47.00
4,70.33,48.00
4,71.53,47.00
4,72.72,48.00
4,73.91,51.00
4,75.10,51.00
4,76.29,47.00
4,77.49,55.00
4,78.68,64.00
4,79.87,64.00
4,81.06,67.00
4,82.25,67.00
4,83.45,60.00
4,84.64,63.00
4,85.83,64.00
4,87.02,64.00
4,88.21,72.00
4,89.41,72.00
4,90.60,76.00
4,91.79,79.00
4,92.98,87.00
4,94.18,95.00
4,95.37,108.00
4,96.56,135.00
5,1.19,130.00
5,2.38,36.00
5,3.58,39.00
5,4.77,39.00
5,5.96,36.00
5,7.15,39.00
5,8.34,36.00
5,9.54,36.00
5,10.73,35.00
5,11.92,39.00
5,13.11,36.00
5,14.31,35.00
5,15.50,35.00
5,16.69,35.00
5,17.88,36.00
5,19.07,35.00
5,20.27,35.00
5,21.46,35.00
5,22.65,36.00
5,23.84,36.00
5,25.03,39.00
5,26.23,36.00
5,27.42,36.00
5,28.61,39.00
5,29.80,36.00
5,30.99,39.00
5,32.19,36.00
5,33.38,39.00
5,34.57,48.00
5,35.76,62.00
5,36.95,56.00
5,38.15,48.00
5,39.34,52.00
5,40.53,43.00
5,41.72,43.00
5,42.92,40.00
5,44.11,40.00
5,45.30,40.00
5,46.49,43.00
5,47.68,40.00
5,48.88,40.00
5,50.07,43.00
5,51.26,44.00
5,52.45,43.00
5,53.64,51.00
5,54.84,44.00
5,56.03,43.00
5,57.22,43.00
5,58.41,44.00
5,59.60,44.00
5,60.80,47.00
5,61.99,44.00
5,63.18,47.00
