round,table_usage,runtime_ns
3,42.92,91.00
3,44.11,88.00
3,45.30,91.00
3,46.49,95.00
3,47.68,92.00
3,48.88,91.00
3,50.07,95.00
3,51.26,84.00
3,52.45,91.00
3,53.64,91.00
3,54.84,95.00
3,56.03,92.00
3,57.22,92.00
3,58.41,92.00
3,59.60,91.00
3,60.80,92.00
3,61.99,103.00
3,63.18,100.00
3,64.37,95.00
3,65.57,107.00
3,66.76,95.00
3,67.95,95.00
3,69.14,103.00
3,70.33,107.00
3,71.53,100.00
3,72.72,111.00
3,73.91,107.00
3,75.10,102.00
3,76.29,124.00
3,77.49,107.00
3,78.68,115.00
3,79.87,112.00
3,81.06,119.00
3,82.25,127.00
3,83.45,120.00
3,84.64,120.00
3,85.83,128.00
3,87.02,196.00
3,88.21,212.00
3,89.41,147.00
3,90.60,163.00
3,91.79,164.00
3,92.98,179.00
3,94.18,200.00
3,95.37,239.00
3,96.56,279.00
4,1.19,228.00
4,2.38,71.00
4,3.58,72.00
4,4.77,84.00
4,5.96,83.00
4,7.15,83.00
4,8.34,79.00
4,9.54,80.00
4,10.73,80.00
4,11.92,83.00
4,13.11,79.00
4,14.31,92.00
4,15.50,92.00
4,16.69,79.00
4,17.88,91.00
4,19.07,92.00
4,20.27,88.00
4,21.46,87.00
4,22.65,84.00
4,23.84,83.00
4,25.03,83.00
4,26.23,83.00
4,27.42,76.00
4,28.61,79.00
4,29.80,79.00
4,30.99,76.00
4,32.19,79.00
4,33.38,84.00
4,34.57,83.00
4,35.76,80.00
4,36.95,72.00
4,38.15,76.00
4,39.34,83.00
4,40.53,87.00
4,41.72,84.00
4,42.92,84.00
4,44.11,88.00
4,45.30,87.00
4,46.49,88.00
4,47.68,84.00
4,48.88,87.00
4,50.07,92.00
4,51.26,88.00
4,52.45,88.00
4,53.64,92.00
4,54.84,88.00
4,56.03,95.00
4,57.22,88.00
4,58.41,88.00
4,59.60,87.00
4,60.80,84.00
4,61.99,91.00
4,63.18,84.00
4,64.37,87.00
4,65.57,95.00
4,66.76,92.00
4,67.95,92.00
4,69.14,92.00
4,70.33,91.00
4,71.53,91.00
4,72.72,92.00
4,73.91,91.00
4,75.10,96.00
4,76.29,103.00
4,77.49,100.00
4,78.68,115.00
4,79.87,107.00
4,81.06,108.00
4,82.25,116.00
4,83.45,108.00
4,84.64,112.00
4,85.83,112.00
4,87.02,119.00
4,88.21,120.00
4,89.41,128.00
4,90.60,132.00
4,91.79,148.00
4,92.98,159.00
4,94.18,168.00
4,95.37,215.00
4,96.56,243.00
5,1.19,227.00
5,2.38,72.00
5,3.58,68.00
5,4.77,67.00
5,5.96,67.00
5,7.15,67.00
5,8.34,67.00
5,9.54,67.00
5,10.73,64.00
5,11.92,75.00
5,13.11,88.00
5,14.31,87.00
5,15.50,96.00
5,16.69,87.00
5,17.88,87.00
5,19.07,83.00
5,20.27,80.00
5,21.46,76.00
5,22.65,79.00
5,23.84,75.00
5,25.03,75.00
5,26.23,72.00
5,27.42,76.00
5,28.61,80.00
5,29.80,75.00
5,30.99,79.00
5,32.19,76.00
5,33.38,76.00
5,34.57,75.00
5,35.76,83.00
5,36.95,80.00
5,38.15,80.00
5,39.34,79.00
5,40.53,79.00
5,41.72,83.00
5,42.92,83.00
5,44.11,79.00
5,45.30,80.00
5,46.49,87.00
5,47.68,84.00
5,48.88,76.00
5,50.07,79.00
5,51.26,83.00
5,52.45,83.00
5,53.64,80.00
5,54.84,83.00
5,56.03,85.00
5,57.22,86.00
5,58.41,88.00
5,59.60,87.00
5,60.80,84.00
5,61.99,87.00
5,63.18,80.00
5,64.37,88.00
5,65.57,88.00
5,66.76,87.00
5,67.95,88.00
5,69.14,91.00
5,70.33,83.00
5,71.53,87.00
5,72.72,88.00
5,73.91,92.00
5,75.10,99.00
5,76.29,95.00
5,77.49,91.00
5,78.68,92.00
5,79.87,108.00
5,81.06,111.00
5,82.25,107.00
5,83.45,100.00
5,84.64,103.00
5,85.83,112.00
5,87.02,120.00
5,88.21,123.00
5,89.41,127.00
5,90.60,132.00
5,91.79,144.00
5,92.98,156.00
5,94.18,195.00
5,95.37,204.00
5,96.56,239.00
6,1.19,227.00
6,2.38,67.00
6,3.58,68.00
6,4.77,76.00
6,5.96,79.00
6,7.15,76.00
6,8.34,72.00
6,9.54,75.00
6,10.73,68.00
6,11.92,71.00
6,13.11,71.00
6,14.31,76.00
6,15.50,76.00
6,16.69,72.00
6,17.88,72.00
6,19.07,71.00
6,20.27,68.00
6,21.46,71.00
6,22.65,79.00
6,23.84,75.00
6,25.03,72.00
6,26.23,72.00
6,27.42,72.00
6,28.61,87.00
6,29.80,76.00
6,30.99,72.00
6,32.19,76.00
6,33.38,76.00
6,34.57,79.00
6,35.76,79.00
6,36.95,76.00
6,38.15,79.00
6,39.34,83.00
6,40.53,79.00
6,41.72,80.00
6,42.92,79.00
6,44.11,83.00
6,45.30,92.00
6,46.49,88.00
6,47.68,87.00
6,48.88,83.00
6,50.07,84.00
6,51.26,83.00
6,52.45,87.00
6,53.64,84.00
6,54.84,87.00
6,56.03,83.00
6,57.22,88.00
6,58.41,87.00
6,59.60,87.00
6,60.80,92.00
6,61.99,91.00
6,63.18,87.00
6,64.37,92.00
6,65.57,99.00
6,66.76,88.00
6,67.95,92.00
6,69.14,88.00
6,70.33,91.00
6,71.53,92.00
6,72.72,100.00
6,73.91,99.00
6,75.10,92.00
6,76.29,99.00
6,77.49,95.00
6,78.68,96.00
6,79.87,107.00
6,81.06,99.00
6,82.25,103.00
6,83.45,108.00
6,84.64,115.00
6,85.83,112.00
6,87.02,119.00
6,88.21,120.00
6,89.41,135.00
6,90.60,144.00
6,91.79,163.00
6,92.98,179.00
6,94.18,188.00
6,95.37,207.00
6,96.56,244.00
7,1.19,239.00
7,2.38,72.00
7,3.58,68.00
7,4.77,71.00
7,5.96,71.00
7,7.15,76.00
7,8.34,79.00
7,9.54,80.00
7,10.73,76.00
7,11.92,76.00
7,13.11,72.00
7,14.31,71.00
7,15.50,68.00
7,16.69,71.00
7,17.88,68.00
7,19.07,71.00
7,20.27,68.00
7,21.46,75.00
7,22.65,76.00
7,23.84,75.00
7,25.03,75.00
7,26.23,72.00
7,27.42,75.00
7,28.61,75.00
7,29.80,80.00
7,30.99,76.00
7,32.19,72.00
7,33.38,72.00
7,34.57,72.00
7,35.76,75.00
7,36.95,76.00
7,38.15,83.00
7,39.34,79.00
7,40.53,76.00
7,41.72,83.00
7,42.92,88.00
7,44.11,83.00
7,45.30,80.00
7,46.49,83.00
7,47.68,80.00
7,48.88,80.00
7,50.07,83.00
7,51.26,83.00
7,52.45,80.00
7,53.64,83.00
7,54.84,83.00
7,56.03,80.00
7,57.22,87.00
7,58.41,88.00
7,59.60,80.00
7,60.80,80.00
7,61.99,80.00
7,63.18,80.00
7,64.37,91.00
7,65.57,87.00
7,66.76,96.00
7,67.95,100.00
7,69.14,116.00
7,70.33,107.00
7,71.53,100.00
7,72.72,92.00
7,73.91,99.00
7,75.10,92.00
7,76.29,92.00
7,77.49,99.00
7,78.68,96.00
7,79.87,103.00
7,81.06,100.00
7,82.25,103.00
7,83.45,107.00
7,84.64,112.00
7,85.83,115.00
7,87.02,123.00
7,88.21,123.00
7,89.41,124.00
7,90.60,132.00
7,91.79,148.00
7,92.98,163.00
7,94.18,172.00
7,95.37,207.00
7,96.56,243.00
8,1.19,238.00
8,2.38,76.00
8,3.58,71.00
8,4.77,71.00
8,5.96,71.00
8,7.15,72.00
8,8.34,76.00
8,9.54,72.00
8,10.73,72.00
8,11.92,71.00
8,13.11,71.00
8,14.31,76.00
8,15.50,75.00
8,16.69,76.00
8,17.88,72.00
8,19.07,72.00
8,20.27,68.00
8,21.46,75.00
8,22.65,72.00
8,23.84,79.00
8,25.03,79.00
8,26.23,72.00
8,27.42,72.00
8,28.61,79.00
8,29.80,83.00
8,30.99,75.00
8,32.19,84.00
8,33.38,83.00
8,34.57,76.00
8,35.76,75.00
8,36.95,79.00
8,38.15,75.00
8,39.34,79.00
8,40.53,84.00
8,41.72,87.00
8,42.92,80.00
8,44.11,83.00
8,45.30,79.00
8,46.49,83.00
8,47.68,84.00
8,48.88,84.00
8,50.07,83.00
8,51.26,80.00
8,52.45,83.00
8,53.64,91.00
8,54.84,84.00
8,56.03,84.00
8,57.22,87.00
8,58.41,84.00
8,59.60,83.00
8,60.80,88.00
8,61.99,92.00
8,63.18,88.00
8,64.37,87.00
8,65.57,88.00
8,66.76,84.00
8,67.95,95.00
8,69.14,91.00
8,70.33,87.00
8,71.53,95.00
8,72.72,84.00
8,73.91,87.00
8,75.10,96.00
8,76.29,95.00
8,77.49,88.00
8,78.68,99.00
8,79.87,99.00
8,81.06,100.00
8,82.25,103.00
8,83.45,108.00
8,84.64,111.00
8,85.83,107.00
8,87.02,111.00
8,88.21,123.00
8,89.41,128.00
8,90.60,148.00
8,91.79,170.00
8,92.98,176.00
8,94.18,196.00
8,95.37,215.00
8,96.56,266.00
