round,table_usage,runtime_ns
3,42.91,87.00
3,44.11,87.00
3,45.30,87.00
3,46.49,87.00
3,47.68,87.00
3,48.88,88.00
3,50.07,103.00
3,51.26,99.00
3,52.45,100.00
3,53.64,99.00
3,54.84,103.00
3,56.03,103.00
3,57.22,107.00
3,58.41,104.00
3,59.60,104.00
3,60.80,100.00
3,61.99,103.00
3,63.18,103.00
3,64.37,103.00
3,65.56,103.00
3,66.76,104.00
3,67.95,107.00
3,69.14,107.00
3,70.33,108.00
3,71.52,115.00
3,72.72,127.00
3,73.91,120.00
3,75.10,123.00
3,76.29,131.00
3,77.49,128.00
3,78.68,127.00
3,79.87,124.00
3,81.06,123.00
3,82.25,124.00
3,83.45,123.00
3,84.64,123.00
3,85.83,127.00
3,87.02,124.00
3,88.21,124.00
3,89.41,127.00
3,90.60,132.00
3,91.79,139.00
3,92.98,140.00
3,94.17,136.00
3,95.37,147.00
3,96.56,148.00
4,1.19,76.00
4,2.38,32.00
4,3.58,36.00
4,4.77,40.00
4,5.96,40.00
4,7.15,43.00
4,8.34,40.00
4,9.54,52.00
4,10.73,52.00
4,11.92,63.00
4,13.11,60.00
4,14.30,60.00
4,15.50,59.00
4,16.69,63.00
4,17.88,60.00
4,19.07,63.00
4,20.27,64.00
4,21.46,67.00
4,22.65,67.00
4,23.84,75.00
4,25.03,71.00
4,26.23,72.00
4,27.42,75.00
4,28.61,76.00
4,29.80,79.00
4,30.99,79.00
4,32.19,79.00
4,33.38,76.00
4,34.57,83.00
4,35.76,84.00
4,36.95,87.00
4,38.15,87.00
4,39.34,84.00
4,40.53,83.00
4,41.72,84.00
4,42.91,92.00
4,44.11,95.00
4,45.30,96.00
4,46.49,96.00
4,47.68,99.00
4,48.88,96.00
4,50.07,103.00
4,51.26,99.00
4,52.45,96.00
4,53.64,96.00
4,54.84,96.00
4,56.03,96.00
4,57.22,99.00
4,58.41,100.00
4,59.60,99.00
4,60.80,100.00
4,61.99,100.00
4,63.18,100.00
4,64.37,103.00
4,65.56,100.00
4,66.76,104.00
4,67.95,107.00
4,69.14,104.00
4,70.33,108.00
4,71.52,108.00
4,72.72,124.00
4,73.91,127.00
4,75.10,124.00
4,76.29,123.00
4,77.49,120.00
4,78.68,123.00
4,79.87,127.00
4,81.06,120.00
4,82.25,120.00
4,83.45,120.00
4,84.64,123.00
4,85.83,124.00
4,87.02,123.00
4,88.21,124.00
4,89.41,127.00
4,90.60,127.00
4,91.79,140.00
4,92.98,151.00
4,94.17,160.00
4,95.37,171.00
4,96.56,151.00
5,1.19,91.00
5,2.38,36.00
5,3.58,39.00
5,4.77,39.00
5,5.96,40.00
5,7.15,40.00
5,8.34,43.00
5,9.54,44.00
5,10.73,47.00
5,11.92,44.00
5,13.11,48.00
5,14.30,48.00
5,15.50,51.00
5,16.69,52.00
5,17.88,60.00
5,19.07,60.00
5,20.27,60.00
5,21.46,75.00
5,22.65,72.00
5,23.84,68.00
5,25.03,64.00
5,26.23,68.00
5,27.42,71.00
5,28.61,68.00
5,29.80,71.00
5,30.99,79.00
5,32.19,79.00
5,33.38,72.00
5,34.57,72.00
5,35.76,87.00
5,36.95,80.00
5,38.15,88.00
5,39.34,91.00
5,40.53,91.00
5,41.72,92.00
5,42.91,96.00
5,44.11,95.00
5,45.30,95.00
5,46.49,96.00
5,47.68,95.00
5,48.88,95.00
5,50.07,100.00
5,51.26,107.00
5,52.45,100.00
5,53.64,100.00
5,54.84,100.00
5,56.03,108.00
5,57.22,107.00
5,58.41,112.00
5,59.60,111.00
5,60.80,108.00
5,61.99,107.00
5,63.18,124.00
5,64.37,152.00
5,65.56,119.00
5,66.76,112.00
5,67.95,116.00
5,69.14,119.00
5,70.33,116.00
5,71.52,124.00
5,72.72,120.00
5,73.91,127.00
5,75.10,127.00
5,76.29,128.00
5,77.49,131.00
5,78.68,132.00
