round,table_usage,runtime_ns
0,1.19,143.00
0,2.38,59.00
0,3.58,60.00
0,4.77,60.00
0,5.96,67.00
0,7.15,68.00
0,8.34,64.00
0,9.54,68.00
0,10.73,72.00
0,11.92,75.00
0,13.11,79.00
0,14.31,76.00
0,15.50,83.00
0,16.69,83.00
0,17.88,80.00
0,19.07,84.00
0,20.27,88.00
0,21.46,88.00
0,22.65,92.00
0,23.84,92.00
0,25.03,96.00
0,26.23,99.00
0,27.42,103.00
0,28.61,107.00
0,29.80,112.00
0,30.99,127.00
0,32.19,129.00
0,33.38,131.00
0,34.57,137.00
0,35.76,218.00
0,36.95,183.00
0,38.15,128.00
0,39.34,131.00
0,40.53,128.00
0,41.72,131.00
0,42.92,139.00
0,44.11,139.00
0,45.30,143.00
0,46.49,151.00
0,47.68,147.00
0,48.88,151.00
0,50.07,143.00
0,51.26,140.00
0,52.45,151.00
0,53.64,152.00
0,54.84,147.00
0,56.03,148.00
0,57.22,171.00
0,58.41,152.00
0,59.60,159.00
0,60.80,171.00
0,61.99,160.00
0,63.18,160.00
0,64.37,156.00
0,65.57,156.00
0,66.76,159.00
0,67.95,171.00
0,69.14,160.00
0,70.33,160.00
0,71.53,163.00
0,72.72,167.00
0,73.91,164.00
0,75.10,167.00
0,76.29,175.00
0,77.49,172.00
0,78.68,175.00
0,79.87,175.00
0,81.06,179.00
0,82.25,184.00
0,83.45,183.00
0,84.64,183.00
0,85.83,184.00
0,87.02,187.00
0,88.21,187.00
0,89.41,195.00
0,90.60,191.00
0,91.79,195.00
0,92.98,195.00
0,94.18,212.00
0,95.37,223.00
0,96.56,228.00
1,1.19,155.00
1,2.38,72.00
1,3.58,79.00
1,4.77,79.00
1,5.96,80.00
1,7.15,80.00
1,8.34,83.00
1,9.54,79.00
1,10.73,80.00
1,11.92,83.00
1,13.11,80.00
1,14.31,84.00
1,15.50,83.00
1,16.69,84.00
1,17.88,88.00
1,19.07,91.00
1,20.27,108.00
1,21.46,107.00
1,22.65,108.00
1,23.84,107.00
1,25.03,108.00
1,26.23,108.00
1,27.42,107.00
1,28.61,107.00
1,29.80,107.00
1,30.99,108.00
1,32.19,107.00
1,33.38,111.00
1,34.57,144.00
1,35.76,151.00
1,36.95,139.00
1,38.15,135.00
1,39.34,135.00
1,40.53,136.00
1,41.72,135.00
1,42.92,132.00
1,44.11,135.00
1,45.30,135.00
1,46.49,135.00
1,47.68,155.00
1,48.88,148.00
1,50.07,143.00
1,51.26,147.00
1,52.45,156.00
1,53.64,156.00
1,54.84,152.00
1,56.03,159.00
1,57.22,156.00
1,58.41,168.00
1,59.60,171.00
1,60.80,188.00
1,61.99,168.00
1,63.18,195.00
1,64.37,167.00
1,65.57,171.00
1,66.76,172.00
1,67.95,172.00
1,69.14,176.00
1,70.33,171.00
1,71.53,184.00
1,72.72,179.00
1,73.91,184.00
1,75.10,191.00
1,76.29,183.00
1,77.49,180.00
1,78.68,191.00
1,79.87,199.00
1,81.06,184.00
1,82.25,211.00
1,83.45,196.00
1,84.64,211.00
1,85.83,208.00
1,87.02,207.00
1,88.21,223.00
1,89.41,220.00
1,90.60,215.00
1,91.79,211.00
1,92.98,219.00
1,94.18,212.00
1,95.37,207.00
1,96.56,207.00
2,1.19,134.00
2,2.38,56.00
2,3.58,55.00
2,4.77,60.00
2,5.96,67.00
2,7.15,64.00
2,8.34,67.00
2,9.54,67.00
2,10.73,71.00
2,11.92,76.00
2,13.11,96.00
2,14.31,95.00
2,15.50,95.00
2,16.69,92.00
2,17.88,92.00
2,19.07,95.00
2,20.27,92.00
2,21.46,95.00
2,22.65,92.00
2,23.84,95.00
2,25.03,95.00
2,26.23,99.00
2,27.42,100.00
2,28.61,103.00
2,29.80,100.00
2,30.99,112.00
2,32.19,127.00
2,33.38,127.00
2,34.57,120.00
2,35.76,124.00
2,36.95,124.00
2,38.15,124.00
2,39.34,120.00
2,40.53,123.00
2,41.72,120.00
2,42.92,123.00
2,44.11,123.00
2,45.30,127.00
2,46.49,148.00
2,47.68,152.00
2,48.88,143.00
2,50.07,151.00
2,51.26,147.00
2,52.45,144.00
2,53.64,151.00
2,54.84,151.00
2,56.03,148.00
2,57.22,148.00
2,58.41,151.00
2,59.60,151.00
2,60.80,151.00
2,61.99,163.00
2,63.18,176.00
2,64.37,175.00
2,65.57,172.00
2,66.76,172.00
2,67.95,167.00
2,69.14,175.00
2,70.33,179.00
2,71.53,176.00
2,72.72,171.00
2,73.91,168.00
2,75.10,168.00
2,76.29,200.00
2,77.49,192.00
2,78.68,199.00
2,79.87,204.00
2,81.06,199.00
2,82.25,200.00
2,83.45,199.00
2,84.64,196.00
2,85.83,199.00
2,87.02,192.00
2,88.21,196.00
2,89.41,195.00
2,90.60,196.00
2,91.79,239.00
2,92.98,219.00
2,94.18,220.00
2,95.37,223.00
2,96.56,220.00
3,1.19,138.00
3,2.38,52.00
3,3.58,52.00
3,4.77,60.00
3,5.96,63.00
3,7.15,60.00
3,8.34,71.00
3,9.54,68.00
3,10.73,68.00
3,11.92,71.00
3,13.11,75.00
3,14.31,75.00
3,15.50,76.00
3,16.69,79.00
3,17.88,79.00
3,19.07,83.00
3,20.27,83.00
3,21.46,84.00
3,22.65,87.00
3,23.84,91.00
3,25.03,88.00
3,26.23,92.00
3,27.42,95.00
3,28.61,95.00
3,29.80,123.00
3,30.99,123.00
3,32.19,120.00
3,33.38,123.00
3,34.57,124.00
3,35.76,123.00
3,36.95,120.00
3,38.15,123.00
3,39.34,123.00
3,40.53,120.00
3,41.72,123.00
3,42.92,127.00
3,44.11,124.00
3,45.30,127.00
3,46.49,139.00
3,47.68,156.00
3,48.88,223.00
3,50.07,151.00
3,51.26,152.00
3,52.45,159.00
3,53.64,164.00
3,54.84,156.00
3,56.03,163.00
3,57.22,160.00
3,58.41,160.00
3,59.60,160.00
3,60.80,156.00
3,61.99,163.00
3,63.18,179.00
3,64.37,175.00
3,65.57,176.00
3,66.76,183.00
3,67.95,176.00
3,69.14,175.00
3,70.33,174.00
3,71.53,176.00
3,72.72,172.00
3,73.91,168.00
3,75.10,172.00
3,76.29,184.00
3,77.49,179.00
3,78.68,179.00
3,79.87,180.00
3,81.06,192.00
3,82.25,207.00
3,83.45,196.00
3,84.64,199.00
3,85.83,204.00
3,87.02,204.00
3,88.21,204.00
3,89.41,199.00
3,90.60,200.00
3,91.79,223.00
3,92.98,219.00
3,94.18,208.00
3,95.37,208.00
3,96.56,208.00
4,1.19,150.00
4,2.38,76.00
4,3.58,75.00
4,4.77,72.00
4,5.96,72.00
4,7.15,67.00
4,8.34,68.00
4,9.54,71.00
4,10.73,68.00
4,11.92,75.00
4,13.11,75.00
4,14.31,76.00
4,15.50,83.00
4,16.69,80.00
4,17.88,80.00
4,19.07,83.00
4,20.27,87.00
4,21.46,87.00
4,22.65,88.00
4,23.84,91.00
4,25.03,92.00
4,26.23,95.00
4,27.42,95.00
4,28.61,96.00
4,29.80,107.00
4,30.99,108.00
4,32.19,107.00
